id,lat,lon,elevation
1,48.465622,8.934599,409.0
2,48.46562,8.93461,409.0
3,48.46572,8.93461,409.0
4,48.46572,8.93457,409.0
5,48.46571,8.93457,409.0
6,48.465813,8.93487,407.0
7,48.46598,8.93525,402.0
8,48.46598,8.93524,402.0
9,48.46596,8.93521,402.0
10,48.465363,8.935789,399.0
11,48.46474,8.936295,400.0
12,48.46475,8.93631,400.0
13,48.464767,8.936291,400.0
14,48.464798,8.93635,400.0
15,48.46486,8.93642,399.0
16,48.46493,8.9364395,399.0
17,48.46508,8.93638,399.0
18,48.46513,8.93638,399.0
19,48.465122,8.93638,399.0
20,48.465218,8.93645,397.0
21,48.46527,8.93652,397.0
22,48.46637,8.93846,385.0
23,48.46662,8.93895,379.0
24,48.46662,8.93894,379.0
25,48.467083,8.93985,377.0
26,48.46717,8.93992,376.0
27,48.46746,8.94057,373.0
28,48.46847,8.94245,359.0
29,48.468597,8.9427805,358.0
30,48.468597,8.94277,358.0
31,48.46875,8.9431505,357.0
32,48.46897,8.94413,354.0
33,48.46914,8.94522,350.0
34,48.46939,8.947261,350.0
35,48.469498,8.94782,348.0
36,48.469643,8.94829,348.0
37,48.469643,8.94828,348.0
38,48.46996,8.94921,346.0
39,48.46993,8.94934,346.0
40,48.46998,8.94938,346.0
41,48.47003,8.94949,346.0
42,48.47003,8.94948,346.0
43,48.47021,8.949941,347.0
44,48.47033,8.95059,347.0
45,48.470463,8.95095,348.0
46,48.471,8.95221,349.0
47,48.47105,8.95235,349.0
48,48.4711,8.9526205,349.0
49,48.47118,8.95364,348.0
50,48.47126,8.95409,349.0
51,48.47126,8.954081,349.0
52,48.47134,8.954511,352.0
53,48.471542,8.95539,349.0
54,48.47165,8.95594,349.0
55,48.471962,8.95661,349.0
56,48.472057,8.95687,349.0
57,48.472446,8.958011,348.0
58,48.47252,8.95827,349.0
59,48.47285,8.95919,349.0
60,48.47297,8.95964,347.0
61,48.47313,8.9603195,347.0
62,48.47313,8.96031,347.0
63,48.47327,8.9609,349.0
64,48.47341,8.96167,346.0
65,48.473927,8.965099,345.0
66,48.47418,8.9666605,347.0
67,48.47418,8.96665,347.0
68,48.47421,8.96686,347.0
69,48.47473,8.96917,344.0
70,48.47475,8.96925,344.0
71,48.474743,8.9693,344.0
72,48.47469,8.969451,344.0
73,48.4747,8.969621,344.0
74,48.474533,8.96973,345.0
75,48.4744,8.96996,345.0
76,48.47437,8.97005,345.0
77,48.474346,8.97025,345.0
78,48.474358,8.97025,345.0
79,48.474342,8.97047,345.0
80,48.474293,8.97071,345.0
81,48.474407,8.97084,345.0
82,48.474472,8.970989,345.0
83,48.474503,8.971201,345.0
84,48.474503,8.97119,345.0
85,48.474533,8.97175,346.0
86,48.474712,8.973599,346.0
87,48.47463,8.97402,345.0
88,48.47424,8.97425,346.0
89,48.474293,8.974489,346.0
90,48.474293,8.974481,346.0
91,48.47493,8.977389,347.0
92,48.47493,8.977381,347.0
93,48.47493,8.97741,347.0
94,48.47623,8.976561,346.0
95,48.47623,8.97659,346.0
96,48.47623,8.97658,346.0
97,48.47627,8.97678,346.0
98,48.4763,8.97702,345.0
99,48.47644,8.97704,345.0
100,48.47644,8.97703,345.0
101,48.47687,8.97823,345.0
102,48.47687,8.97822,345.0
103,48.47726,8.97927,345.0
104,48.47741,8.97988,344.0
105,48.47823,8.98289,341.0
106,48.478626,8.98385,340.0
107,48.478626,8.98384,340.0
108,48.47988,8.9858,340.0
109,48.48061,8.98708,340.0
110,48.48094,8.98783,340.0
111,48.48108,8.98826,340.0
112,48.48108,8.98825,340.0
113,48.48121,8.98874,339.0
114,48.481228,8.98887,339.0
115,48.48126,8.9903,338.0
116,48.481342,8.991421,337.0
117,48.48152,8.99248,339.0
118,48.48175,8.9937,340.0
119,48.48188,8.99419,341.0
120,48.48188,8.99418,341.0
121,48.481888,8.9942,341.0
122,48.48132,8.99444,341.0
123,48.48069,8.9947,340.0
124,48.480682,8.99467,340.0
125,48.48067,8.99467,340.0
126,48.4815,8.99774,339.0
127,48.4815,8.99773,339.0
128,48.48164,8.99835,339.0
129,48.48202,8.999781,340.0
130,48.48202,8.99977,340.0
131,48.482067,9.00001,340.0
132,48.482487,9.00143,342.0
133,48.482487,9.00142,342.0
134,48.482487,9.001451,342.0
135,48.482456,9.0016,342.0
136,48.48256,9.0017805,341.0
137,48.48256,9.00177,341.0
138,48.482666,9.00206,341.0
139,48.483723,9.00584,340.0
140,48.483723,9.00583,339.0
141,48.484207,9.00763,339.0
142,48.485508,9.01258,335.0
143,48.48622,9.01209,334.0
144,48.486507,9.01192,332.0
145,48.4868,9.012791,332.0
146,48.48721,9.01421,333.0
147,48.487198,9.01432,333.0
148,48.4873,9.01459,333.0
149,48.48737,9.01491,334.0
150,48.48737,9.014899,334.0
151,48.48763,9.01606,336.0
152,48.48796,9.017409,337.0
153,48.48811,9.017831,337.0
154,48.48811,9.017961,337.0
